frame_id,size,psnr,loss,qp
0,603.0,45.923282623291016,0.0,1
1,602.0,44.614219665527344,0.0,1
2,701.0,43.43620300292969,0.0,1
3,783.0000000000001,42.655216217041016,0.0,1
4,688.9999999999999,42.12797927856445,0.0,1
5,766.0000000000001,41.53466033935547,0.0,1
6,691.0000000000001,47.404048919677734,0.0,1
7,761.9999999999999,45.05605697631836,0.0,1
8,789.0,43.64484405517578,0.0,1
9,844.0,42.616180419921875,0.0,1
10,774.0,42.1396369934082,0.0,1
11,908.0,41.443721771240234,0.0,1
12,928.9999999999999,40.945125579833984,0.0,1
13,814.0,45.008087158203125,0.0,1
14,1044.0,42.72941970825195,0.0,1
15,1131.0,41.75495910644531,0.0,1
16,1072.0,40.94804000854492,0.0,1
17,1037.0000000000002,40.80035400390625,0.0,1
18,1127.0000000000002,40.340084075927734,0.0,1
19,1032.9999999999998,39.98827362060547,0.0,1
20,700.0,46.370723724365234,0.0,1
21,917.0,43.80290222167969,0.0,1
22,976.0,42.36654281616211,0.0,1
23,1161.0,41.37083053588867,0.0,1
24,1082.0000000000002,41.04225158691406,0.0,1
25,1293.0,40.475120544433594,0.0,1
26,1191.0,40.05000686645508,0.0,1
27,781.0000000000001,45.92971420288086,0.0,1
28,842.0,43.84739303588867,0.0,1
29,1057.0,42.489288330078125,0.0,1
30,1111.0,41.478843688964844,0.0,1
31,1245.0,41.047733306884766,0.0,1
32,1321.0,40.46656799316406,0.0,1
33,1247.0000000000002,40.184879302978516,0.0,1
34,716.9999999999999,45.87471008300781,0.0,1
35,864.0,43.733116149902344,0.0,1
36,808.0,42.800437927246094,0.0,1
37,898.9999999999999,42.00771713256836,0.0,1
38,894.0,41.47040557861328,0.0,1
39,1009.0,40.96099090576172,0.0,1
40,958.0,40.5557975769043,0.0,1
41,637.0,47.586708068847656,0.0,1
42,688.9999999999999,45.197349548339844,0.0,1
43,686.9999999999999,44.15226745605469,0.0,1
44,703.0,43.104164123535156,0.0,1
45,920.0,42.28601837158203,0.0,1
46,911.9999999999999,41.48131561279297,0.0,1
47,828.0000000000001,41.1114501953125,0.0,1
48,612.0,47.62935256958008,0.0,1
49,774.0,44.641021728515625,0.0,1
50,859.0,43.22539138793945,0.0,1
0,591.0,46.65461730957031,0.3,1
1,615.0,42.7520866394043,0.3,1
2,645.0,40.32548141479492,0.3,1
3,728.0,38.383304595947266,0.3,1
4,797.0,36.90472412109375,0.3,1
5,789.0,35.77447509765625,0.3,1
6,923.0,34.83895492553711,0.3,1
7,691.0000000000001,44.450260162353516,0.3,1
8,788.0,39.50535202026367,0.3,1
9,889.0,37.30316925048828,0.3,1
10,928.0,35.89155578613281,0.3,1
11,965.0,35.2706413269043,0.3,1
12,1101.0,34.512001037597656,0.3,1
13,1210.0,33.864723205566406,0.3,1
14,814.0,42.61060333251953,0.3,1
15,1087.0,38.781463623046875,0.3,1
16,1282.0,36.53811264038086,0.3,1
17,1287.9999999999998,35.28560256958008,0.3,1
18,1347.0,34.28335952758789,0.3,1
19,1448.9999999999998,33.428165435791016,0.3,1
20,1485.0,32.70986557006836,0.3,1
21,700.0,44.64928436279297,0.3,1
22,943.9999999999999,40.16684341430664,0.3,1
